Date,Adj Close,year,month,day
1996/5/3,641.630005,1996,5,3
1996/5/6,640.809998,1996,5,6
1996/5/7,638.26001,1996,5,7
1996/5/8,644.77002,1996,5,8
1996/5/9,645.440002,1996,5,9
1996/5/10,652.090027,1996,5,10
1996/5/13,661.51001,1996,5,13
1996/5/14,665.599976,1996,5,14
1996/5/15,665.419983,1996,5,15
1996/5/16,664.849976,1996,5,16
1996/5/17,668.909973,1996,5,17
1996/5/20,673.150024,1996,5,20
1996/5/21,672.76001,1996,5,21
1996/5/22,678.419983,1996,5,22
1996/5/23,676,1996,5,23
1996/5/24,678.51001,1996,5,24
1996/5/28,672.22998,1996,5,28
1996/5/29,667.929993,1996,5,29
1996/5/30,671.700012,1996,5,30
1996/5/31,669.119995,1996,5,31
1996/6/3,667.679993,1996,6,3
1996/6/4,672.559998,1996,6,4
1996/6/5,678.440002,1996,6,5
1996/6/6,673.030029,1996,6,6
1996/6/7,673.309998,1996,6,7
1996/6/10,672.159973,1996,6,10
1996/6/11,670.969971,1996,6,11
1996/6/12,669.039978,1996,6,12
1996/6/13,667.919983,1996,6,13
1996/6/14,665.849976,1996,6,14
1996/6/17,665.159973,1996,6,17
1996/6/18,662.059998,1996,6,18
1996/6/19,661.960022,1996,6,19
1996/6/20,662.099976,1996,6,20
1996/6/21,666.840027,1996,6,21
1996/6/24,668.849976,1996,6,24
1996/6/25,668.47998,1996,6,25
1996/6/26,664.390015,1996,6,26
1996/6/27,668.549988,1996,6,27
1996/6/28,670.630005,1996,6,28
1996/7/1,675.880005,1996,7,1
1996/7/2,673.609985,1996,7,2
1996/7/3,672.400024,1996,7,3
1996/7/5,657.440002,1996,7,5
1996/7/8,652.539978,1996,7,8
1996/7/9,654.75,1996,7,9
1996/7/10,656.059998,1996,7,10
1996/7/11,645.669983,1996,7,11
1996/7/12,646.190002,1996,7,12
1996/7/15,629.799988,1996,7,15
1996/7/16,628.369995,1996,7,16
1996/7/17,634.070007,1996,7,17
1996/7/18,643.559998,1996,7,18
1996/7/19,638.72998,1996,7,19
1996/7/22,633.77002,1996,7,22
1996/7/23,626.869995,1996,7,23
1996/7/24,626.650024,1996,7,24
1996/7/25,631.169983,1996,7,25
1996/7/26,635.900024,1996,7,26
1996/7/29,630.909973,1996,7,29
1996/7/30,635.26001,1996,7,30
1996/7/31,639.950012,1996,7,31
1996/8/1,650.02002,1996,8,1
1996/8/2,662.48999,1996,8,2
1996/8/5,660.22998,1996,8,5
1996/8/6,662.380005,1996,8,6
1996/8/7,664.159973,1996,8,7
1996/8/8,662.590027,1996,8,8
1996/8/9,662.099976,1996,8,9
1996/8/12,665.77002,1996,8,12
1996/8/13,660.200012,1996,8,13
1996/8/14,662.049988,1996,8,14
1996/8/15,662.280029,1996,8,15
1996/8/16,665.210022,1996,8,16
1996/8/19,666.580017,1996,8,19
1996/8/20,665.690002,1996,8,20
1996/8/21,665.070007,1996,8,21
1996/8/22,670.679993,1996,8,22
1996/8/23,667.030029,1996,8,23
1996/8/26,663.880005,1996,8,26
1996/8/27,666.400024,1996,8,27
1996/8/28,664.809998,1996,8,28
1996/8/29,657.400024,1996,8,29
1996/8/30,651.98999,1996,8,30
1996/9/3,654.719971,1996,9,3
1996/9/4,655.609985,1996,9,4
1996/9/5,649.440002,1996,9,5
1996/9/6,655.679993,1996,9,6
1996/9/9,663.76001,1996,9,9
1996/9/10,663.809998,1996,9,10
1996/9/11,667.280029,1996,9,11
1996/9/12,671.150024,1996,9,12
1996/9/13,680.539978,1996,9,13
1996/9/16,683.97998,1996,9,16
1996/9/17,682.940002,1996,9,17
1996/9/18,681.469971,1996,9,18
1996/9/19,683,1996,9,19
1996/9/20,687.030029,1996,9,20
1996/9/23,686.47998,1996,9,23
1996/9/24,685.609985,1996,9,24
1996/9/25,685.830017,1996,9,25
1996/9/26,685.859985,1996,9,26
1996/9/27,686.190002,1996,9,27
1996/9/30,687.330017,1996,9,30
1996/10/1,689.080017,1996,10,1
1996/10/2,694.01001,1996,10,2
1996/10/3,692.780029,1996,10,3
1996/10/4,701.460022,1996,10,4
1996/10/7,703.340027,1996,10,7
1996/10/8,700.640015,1996,10,8
1996/10/9,696.73999,1996,10,9
1996/10/10,694.609985,1996,10,10
1996/10/11,700.659973,1996,10,11
1996/10/14,703.539978,1996,10,14
1996/10/15,702.570007,1996,10,15
1996/10/16,704.409973,1996,10,16
1996/10/17,706.98999,1996,10,17
1996/10/18,710.820007,1996,10,18
1996/10/21,709.849976,1996,10,21
1996/10/22,706.570007,1996,10,22
1996/10/23,707.27002,1996,10,23
1996/10/24,702.289978,1996,10,24
1996/10/25,700.919983,1996,10,25
1996/10/28,697.26001,1996,10,28
1996/10/29,701.5,1996,10,29
1996/10/30,700.900024,1996,10,30
1996/10/31,705.27002,1996,10,31
1996/11/1,703.77002,1996,11,1
1996/11/4,706.72998,1996,11,4
1996/11/5,714.140015,1996,11,5
1996/11/6,724.590027,1996,11,6
1996/11/7,727.650024,1996,11,7
1996/11/8,730.820007,1996,11,8
1996/11/11,731.869995,1996,11,11
1996/11/12,729.559998,1996,11,12
1996/11/13,731.130005,1996,11,13
1996/11/14,735.880005,1996,11,14
1996/11/15,737.619995,1996,11,15
1996/11/18,737.02002,1996,11,18
1996/11/19,742.159973,1996,11,19
1996/11/20,743.950012,1996,11,20
1996/11/21,742.75,1996,11,21
1996/11/22,748.72998,1996,11,22
1996/11/25,757.030029,1996,11,25
1996/11/26,755.960022,1996,11,26
1996/11/27,755,1996,11,27
1996/11/29,757.02002,1996,11,29
1996/12/2,756.559998,1996,12,2
1996/12/3,748.280029,1996,12,3
1996/12/4,745.099976,1996,12,4
1996/12/5,744.380005,1996,12,5
1996/12/6,739.599976,1996,12,6
1996/12/9,749.76001,1996,12,9
1996/12/10,747.539978,1996,12,10
1996/12/11,740.72998,1996,12,11
1996/12/12,729.299988,1996,12,12
1996/12/13,728.640015,1996,12,13
1996/12/16,720.97998,1996,12,16
1996/12/17,726.039978,1996,12,17
1996/12/18,731.539978,1996,12,18
1996/12/19,745.76001,1996,12,19
1996/12/20,748.869995,1996,12,20
1996/12/23,746.919983,1996,12,23
1996/12/24,751.030029,1996,12,24
1996/12/26,755.820007,1996,12,26
1996/12/27,756.789978,1996,12,27
1996/12/30,753.849976,1996,12,30
1996/12/31,740.73999,1996,12,31
1997/1/2,737.01001,1997,1,2
1997/1/3,748.030029,1997,1,3
1997/1/6,747.650024,1997,1,6
1997/1/7,753.22998,1997,1,7
1997/1/8,748.409973,1997,1,8
1997/1/9,754.849976,1997,1,9
1997/1/10,759.5,1997,1,10
1997/1/13,759.51001,1997,1,13
1997/1/14,768.859985,1997,1,14
1997/1/15,767.200012,1997,1,15
1997/1/16,769.75,1997,1,16
1997/1/17,776.169983,1997,1,17
1997/1/20,776.700012,1997,1,20
1997/1/21,782.719971,1997,1,21
1997/1/22,786.22998,1997,1,22
1997/1/23,777.559998,1997,1,23
1997/1/24,770.52002,1997,1,24
1997/1/27,765.02002,1997,1,27
1997/1/28,765.02002,1997,1,28
